Year,Canada,United Kingdom,United States
1993,77.70487805,76.38536585,75.4195122
1994,77.87170732,76.88536585,75.6195122
1995,77.97731707,76.83658537,75.62195122
1996,78.2202439,77.08780488,76.02682927
1997,78.41243902,77.21097561,76.42926829
1998,78.62365854,77.1902439,76.5804878
1999,78.83902439,77.3902439,76.58292683
2000,79.16682927,77.74146341,76.63658537
2001,79.39804878,77.99268293,76.83658537
2002,79.53073171,78.14390244,76.93658537
2003,79.71512195,78.44634146,77.03658537
2004,79.99219512,78.74634146,77.48780488
2005,80.11268293,79.04878049,77.48780488
2006,80.54365854,79.24878049,77.68780488
2007,80.54365854,79.44878049,77.98780488
2008,80.72463415,79.6,78.03902439
2009,81.06609756,80.05121951,78.3902439
2010,81.32219512,80.40243902,78.54146341
2011,81.48268293,80.95121951,78.64146341
2012,81.66365854,80.90487805,78.74146341
2013,81.74487805,81.00487805,78.74146341
2014,81.78439024,81.30487805,78.84146341
2015,81.81560976,80.95609756,78.6902439
2016,81.92487805,81.15609756,78.53902439
2017,81.83292683,81.25609756,78.53902439
2018,81.84390244,81.25609756,78.63902439
2019,82.22390244,81.40487805,78.78780488
2020,81.6604878,80.35121951,76.9804878
2021,81.58707317,80.7,76.32926829
